GRAMS	Dust Mass(Msun)	Max C2H2 log(n/cm2)
2774	7.00960E-06	17.39
2775	8.17786E-04	19.46
2776	9.34613E-04	19.52
2777	9.34613E-05	18.52
2778	9.34613E-06	17.52
2779	1.05144E-03	19.57
2780	4.24037E-03	19.79
2781	2.82692E-03	19.62
2782	2.82692E-04	18.62
2783	2.82692E-05	17.62
2784	2.82692E-06	16.62
2785	7.06729E-03	20.01
2786	5.65383E-03	19.92
2787	5.65383E-04	18.92
2788	5.65383E-05	17.92
2789	5.65383E-06	16.92
2790	9.89420E-03	20.16
2791	8.48075E-03	20.09
2792	8.48075E-04	19.09
2793	1.13077E-02	20.22
2794	1.13077E-03	19.22
2795	1.13077E-04	18.22
2796	1.13077E-05	17.22
2797	1.41346E-03	19.31
2798	1.69615E-03	19.39
2799	1.69615E-04	18.39
2800	1.69615E-05	17.39
2801	1.97884E-03	19.46
2802	2.26153E-03	19.52
2803	2.26153E-04	18.52
2804	2.26153E-05	17.52
2805	2.54422E-03	19.57
2806	1.24615E-02	19.79
2807	8.30767E-03	19.62
2808	8.30767E-04	18.62
2809	8.30767E-05	17.62
2810	8.30767E-06	16.62
2811	2.07692E-02	20.01
2812	1.66153E-02	19.92
2813	1.66153E-03	18.92
2814	1.66153E-04	17.92
2815	1.66153E-05	16.92
2816	2.90768E-02	20.16
2817	2.49230E-02	20.09
2818	2.49230E-03	19.09
2819	3.32307E-02	20.22
2820	3.32307E-03	19.22
2821	3.32307E-04	18.22
2822	3.32307E-05	17.22
2823	4.15383E-03	19.31
2824	4.98460E-03	19.39
2825	4.98460E-04	18.39
2826	4.98460E-05	17.39
2827	5.81537E-03	19.46
2828	6.64614E-03	19.52
2829	6.64614E-04	18.52
2830	6.64614E-05	17.52
2831	7.47690E-03	19.57
2832	1.29807E-06	17.62
2833	1.29807E-07	16.62
2834	2.59615E-06	17.92
2835	2.59615E-07	16.92
2836	5.19229E-06	18.22
2837	5.19229E-07	17.22
2838	7.78844E-06	18.39
2839	7.78844E-07	17.39
2840	1.03846E-05	18.52
2841	1.03846E-06	17.52
2842	5.19229E-04	19.62
2843	5.19229E-05	18.62
2844	5.19229E-06	17.62
2845	5.19229E-07	16.62
2846	1.03846E-04	18.92
2847	1.03846E-05	17.92
2848	1.03846E-06	16.92
2849	1.55769E-04	19.09
2850	2.07692E-04	19.22
2851	2.07692E-05	18.22
2852	2.07692E-06	17.22
2853	2.59615E-04	19.31
2854	3.11538E-04	19.39
2855	3.11538E-05	18.39
2856	3.11538E-06	17.39
2857	3.63461E-04	19.46
2858	4.15383E-04	19.52
2859	4.15383E-05	18.52
2860	4.15383E-06	17.52
2861	4.67306E-04	19.57
2862	1.75240E-03	19.79
2863	1.16827E-03	19.62
2864	1.16827E-04	18.62
2865	1.16827E-05	17.62
2866	1.16827E-06	16.62
2867	2.92067E-03	20.01
2868	2.33653E-03	19.92
2869	2.33653E-04	18.92
2870	2.33653E-05	17.92
2871	2.33653E-06	16.92
2872	3.50480E-03	20.09
2873	3.50480E-04	19.09
2874	4.67306E-04	19.22
2875	4.67306E-05	18.22
2876	4.67306E-06	17.22
2877	5.84133E-04	19.31
2878	7.00960E-04	19.39
2879	7.00960E-05	18.39
2880	7.00960E-06	17.39
2881	8.17786E-04	19.46
2882	9.34613E-04	19.52
2883	9.34613E-05	18.52
2884	9.34613E-06	17.52
2885	1.05144E-03	19.57
2886	4.24037E-03	19.79
2887	2.82692E-03	19.62
2888	2.82692E-04	18.62
2889	2.82692E-05	17.62
2890	2.82692E-06	16.62
2891	7.06729E-03	20.01
2892	5.65383E-03	19.92
2893	5.65383E-04	18.92
2894	5.65383E-05	17.92
2895	5.65383E-06	16.92
2896	9.89420E-03	20.16
2897	8.48075E-03	20.09
2898	8.48075E-04	19.09
2899	1.13077E-02	20.22
2900	1.13077E-03	19.22
2901	1.13077E-04	18.22
2902	1.13077E-05	17.22
2903	1.41346E-03	19.31
2904	1.69615E-03	19.39
2905	1.69615E-04	18.39
2906	1.69615E-05	17.39
2907	1.97884E-03	19.46
2908	2.26153E-03	19.52
2909	2.26153E-04	18.52
2910	2.26153E-05	17.52
2911	2.54422E-03	19.57
2912	1.24615E-02	19.79
2913	8.30767E-03	19.62
2914	8.30767E-04	18.62
2915	8.30767E-05	17.62
2916	8.30767E-06	16.62
2917	2.07692E-02	20.01
2918	1.66153E-02	19.92
2919	1.66153E-03	18.92
2920	1.66153E-04	17.92
2921	1.66153E-05	16.92
2922	2.90768E-02	20.16
2923	2.49230E-02	20.09
2924	2.49230E-03	19.09
2925	3.32307E-02	20.22
2926	3.32307E-03	19.22
2927	3.32307E-04	18.22
2928	3.32307E-05	17.22
2929	4.15383E-03	19.31
2930	4.98460E-03	19.39
2931	4.98460E-04	18.39
2932	4.98460E-05	17.39
2933	5.81537E-03	19.46
2934	6.64614E-03	19.52
2935	6.64614E-04	18.52
2936	6.64614E-05	17.52
2937	7.47690E-03	19.57
2938	1.29807E-06	17.62
2939	1.29807E-07	16.62
2940	2.59615E-06	17.92
2941	2.59615E-07	16.92
2942	5.19229E-06	18.22
2943	5.19229E-07	17.22
2944	7.78844E-06	18.39
2945	7.78844E-07	17.39
2946	1.03846E-05	18.52
2947	1.03846E-06	17.52
2948	5.19229E-04	19.62
2949	5.19229E-05	18.62
2950	5.19229E-06	17.62
2951	5.19229E-07	16.62
2952	1.03846E-04	18.92
2953	1.03846E-05	17.92
2954	1.03846E-06	16.92
2955	1.55769E-04	19.09
2956	2.07692E-04	19.22
2957	2.07692E-05	18.22
2958	2.07692E-06	17.22
2959	2.59615E-04	19.31
2960	3.11538E-04	19.39
2961	3.11538E-05	18.39
2962	3.11538E-06	17.39
2963	3.63461E-04	19.46
2964	4.15383E-04	19.52
2965	4.15383E-05	18.52
2966	4.15383E-06	17.52
2967	4.67306E-04	19.57
2968	1.75240E-03	19.79
2969	1.16827E-03	19.62
2970	1.16827E-04	18.62
2971	1.16827E-05	17.62
2972	1.16827E-06	16.62
2973	2.92067E-03	20.01
2974	2.33653E-03	19.92
2975	2.33653E-04	18.92
2976	2.33653E-05	17.92
2977	2.33653E-06	16.92
2978	3.50480E-03	20.09
2979	3.50480E-04	19.09
2980	4.67306E-04	19.22
2981	4.67306E-05	18.22
2982	4.67306E-06	17.22
2983	5.84133E-04	19.31
2984	7.00960E-04	19.39
2985	7.00960E-05	18.39
2986	7.00960E-06	17.39
2987	8.17786E-04	19.46
2988	9.34613E-04	19.52
2989	9.34613E-05	18.52
2990	9.34613E-06	17.52
2991	1.05144E-03	19.57
2992	4.24037E-03	19.79
2993	2.82692E-03	19.62
2994	2.82692E-04	18.62
2995	2.82692E-05	17.62
2996	2.82692E-06	16.62
