GRAMS	Dust Mass(Msun)	Max C2H2 log(n/cm2)
0	2.58386E-06	18.62
1	2.58386E-07	17.62
2	2.58386E-08	16.62
3	5.16772E-07	17.92
4	5.16772E-08	16.92
5	1.03354E-06	18.22
6	1.03354E-07	17.22
7	1.55032E-06	18.39
8	1.55032E-07	17.39
9	2.06709E-06	18.52
10	2.06709E-07	17.52
11	1.55032E-04	19.79
12	1.03354E-04	19.62
13	1.03354E-05	18.62
14	1.03354E-06	17.62
15	1.03354E-07	16.62
16	2.06709E-05	18.92
17	2.06709E-06	17.92
18	2.06709E-07	16.92
19	3.10063E-05	19.09
20	4.13418E-05	19.22
21	4.13418E-06	18.22
22	4.13418E-07	17.22
23	5.16772E-05	19.31
24	6.20127E-05	19.39
25	6.20127E-06	18.39
26	6.20127E-07	17.39
27	7.23481E-05	19.46
28	8.26836E-05	19.52
29	8.26836E-06	18.52
30	8.26836E-07	17.52
31	9.30190E-05	19.57
32	3.48821E-04	19.79
33	2.32548E-04	19.62
34	2.32548E-05	18.62
35	2.32548E-06	17.62
36	2.32548E-07	16.62
37	5.81369E-04	20.01
38	4.65095E-04	19.92
39	4.65095E-05	18.92
40	4.65095E-06	17.92
41	4.65095E-07	16.92
42	8.13916E-04	20.16
43	6.97642E-04	20.09
44	6.97642E-05	19.09
45	9.30190E-04	20.22
46	9.30190E-05	19.22
47	9.30190E-06	18.22
48	9.30190E-07	17.22
49	1.16274E-04	19.31
50	1.39529E-04	19.39
51	1.39529E-05	18.39
52	1.39529E-06	17.39
53	1.62783E-04	19.46
54	1.86038E-04	19.52
55	1.86038E-05	18.52
56	1.86038E-06	17.52
57	2.09293E-04	19.57
58	8.44061E-04	19.79
59	5.62708E-04	19.62
60	5.62708E-05	18.62
61	5.62708E-06	17.62
62	5.62708E-07	16.62
63	1.40677E-03	20.01
64	1.12542E-03	19.92
65	1.12542E-04	18.92
66	1.12542E-05	17.92
67	1.12542E-06	16.92
68	1.96948E-03	20.16
69	1.68812E-03	20.09
70	1.68812E-04	19.09
71	2.25083E-03	20.22
72	2.25083E-04	19.22
73	2.25083E-05	18.22
74	2.25083E-06	17.22
75	2.81354E-04	19.31
76	3.37625E-04	19.39
77	3.37625E-05	18.39
78	3.37625E-06	17.39
79	3.93895E-04	19.46
80	4.50166E-04	19.52
81	4.50166E-05	18.52
82	4.50166E-06	17.52
83	5.06437E-04	19.57
84	2.48051E-03	19.79
85	1.65367E-03	19.62
86	1.65367E-04	18.62
87	1.65367E-05	17.62
88	1.65367E-06	16.62
89	4.13418E-03	20.01
90	3.30734E-03	19.92
91	3.30734E-04	18.92
92	3.30734E-05	17.92
93	3.30734E-06	16.92
94	5.78785E-03	20.16
95	4.96101E-03	20.09
96	4.96101E-04	19.09
97	6.61469E-03	20.22
98	6.61469E-04	19.22
99	6.61469E-05	18.22
100	6.61469E-06	17.22
101	8.26836E-04	19.31
102	9.92203E-04	19.39
103	9.92203E-05	18.39
104	9.92203E-06	17.39
105	1.15757E-03	19.46
106	1.32294E-03	19.52
107	1.32294E-04	18.52
108	1.32294E-05	17.52
109	1.48830E-03	19.57
110	2.58386E-06	18.62
111	2.58386E-07	17.62
112	2.58386E-08	16.62
113	5.16772E-07	17.92
114	5.16772E-08	16.92
115	1.03354E-06	18.22
116	1.03354E-07	17.22
117	1.55032E-06	18.39
118	1.55032E-07	17.39
119	2.06709E-06	18.52
120	2.06709E-07	17.52
121	1.55032E-04	19.79
122	1.03354E-04	19.62
123	1.03354E-05	18.62
124	1.03354E-06	17.62
125	1.03354E-07	16.62
126	2.06709E-05	18.92
127	2.06709E-06	17.92
128	2.06709E-07	16.92
129	3.10063E-05	19.09
130	4.13418E-05	19.22
131	4.13418E-06	18.22
132	4.13418E-07	17.22
133	5.16772E-05	19.31
134	6.20127E-05	19.39
135	6.20127E-06	18.39
136	6.20127E-07	17.39
137	7.23481E-05	19.46
138	8.26836E-05	19.52
139	8.26836E-06	18.52
140	8.26836E-07	17.52
141	9.30190E-05	19.57
142	3.48821E-04	19.79
143	2.32548E-04	19.62
144	2.32548E-05	18.62
145	2.32548E-06	17.62
146	2.32548E-07	16.62
147	5.81369E-04	20.01
148	4.65095E-04	19.92
149	4.65095E-05	18.92
150	4.65095E-06	17.92
151	4.65095E-07	16.92
152	8.13916E-04	20.16
153	6.97642E-04	20.09
154	6.97642E-05	19.09
155	9.30190E-04	20.22
156	9.30190E-05	19.22
157	9.30190E-06	18.22
158	9.30190E-07	17.22
159	1.16274E-04	19.31
160	1.39529E-04	19.39
161	1.39529E-05	18.39
162	1.39529E-06	17.39
163	1.62783E-04	19.46
164	1.86038E-04	19.52
165	1.86038E-05	18.52
166	1.86038E-06	17.52
167	2.09293E-04	19.57
168	8.44061E-04	19.79
169	5.62708E-04	19.62
170	5.62708E-05	18.62
171	5.62708E-06	17.62
172	5.62708E-07	16.62
173	1.40677E-03	20.01
174	1.12542E-03	19.92
175	1.12542E-04	18.92
176	1.12542E-05	17.92
177	1.12542E-06	16.92
178	1.96948E-03	20.16
179	1.68812E-03	20.09
180	1.68812E-04	19.09
181	2.25083E-03	20.22
182	2.25083E-04	19.22
183	2.25083E-05	18.22
184	2.25083E-06	17.22
185	2.81354E-04	19.31
186	3.37625E-04	19.39
187	3.37625E-05	18.39
188	3.37625E-06	17.39
189	3.93895E-04	19.46
190	4.50166E-04	19.52
191	4.50166E-05	18.52
192	4.50166E-06	17.52
193	5.06437E-04	19.57
194	2.48051E-03	19.79
195	1.65367E-03	19.62
196	1.65367E-04	18.62
197	1.65367E-05	17.62
198	1.65367E-06	16.62
199	4.13418E-03	20.01
200	3.30734E-03	19.92
201	3.30734E-04	18.92
202	3.30734E-05	17.92
203	3.30734E-06	16.92
204	5.78785E-03	20.16
205	4.96101E-03	20.09
206	4.96101E-04	19.09
207	6.61469E-03	20.22
208	6.61469E-04	19.22
209	6.61469E-05	18.22
210	6.61469E-06	17.22
211	8.26836E-04	19.31
212	9.92203E-04	19.39
213	9.92203E-05	18.39
214	9.92203E-06	17.39
215	1.15757E-03	19.46
216	1.32294E-03	19.52
217	1.32294E-04	18.52
218	1.32294E-05	17.52
219	1.48830E-03	19.57
220	5.16772E-06	18.62
221	5.16772E-07	17.62
222	5.16772E-08	16.62
223	1.03354E-06	17.92
224	1.03354E-07	16.92
225	2.06709E-06	18.22
226	2.06709E-07	17.22
227	3.10063E-06	18.39
228	3.10063E-07	17.39
229	4.13418E-06	18.52
230	4.13418E-07	17.52
231	3.10063E-04	19.79
232	2.06709E-04	19.62
233	2.06709E-05	18.62
234	2.06709E-06	17.62
235	2.06709E-07	16.62
236	4.13418E-05	18.92
237	4.13418E-06	17.92
238	4.13418E-07	16.92
239	6.20127E-05	19.09
240	8.26836E-05	19.22
241	8.26836E-06	18.22
242	8.26836E-07	17.22
243	1.03354E-04	19.31
244	1.24025E-04	19.39
245	1.24025E-05	18.39
246	1.24025E-06	17.39
247	1.44696E-04	19.46
248	1.65367E-04	19.52
249	1.65367E-05	18.52
250	1.65367E-06	17.52
251	1.86038E-04	19.57
252	6.97643E-04	19.79
253	4.65095E-04	19.62
254	4.65095E-05	18.62
255	4.65095E-06	17.62
256	4.65095E-07	16.62
257	1.16274E-03	20.01
258	9.30190E-04	19.92
259	9.30190E-05	18.92
260	9.30190E-06	17.92
261	9.30190E-07	16.92
262	1.62783E-03	20.16
263	1.39529E-03	20.09
264	1.39529E-04	19.09
265	1.86038E-03	20.22
266	1.86038E-04	19.22
267	1.86038E-05	18.22
268	1.86038E-06	17.22
269	2.32548E-04	19.31
270	2.79057E-04	19.39
271	2.79057E-05	18.39
272	2.79057E-06	17.39
273	3.25567E-04	19.46
274	3.72076E-04	19.52
275	3.72076E-05	18.52
276	3.72076E-06	17.52
277	4.18586E-04	19.57
278	1.68812E-03	19.79
279	1.12542E-03	19.62
280	1.12542E-04	18.62
281	1.12542E-05	17.62
282	1.12542E-06	16.62
283	2.81354E-03	20.01
284	2.25083E-03	19.92
285	2.25083E-04	18.92
286	2.25083E-05	17.92
287	2.25083E-06	16.92
288	3.93895E-03	20.16
289	3.37625E-03	20.09
290	3.37625E-04	19.09
291	4.50166E-03	20.22
292	4.50166E-04	19.22
293	4.50166E-05	18.22
294	4.50166E-06	17.22
295	5.62708E-04	19.31
296	6.75249E-04	19.39
297	6.75249E-05	18.39
298	6.75249E-06	17.39
299	7.87791E-04	19.46
300	9.00332E-04	19.52
301	9.00332E-05	18.52
302	9.00332E-06	17.52
303	1.01287E-03	19.57
304	4.96101E-03	19.79
305	3.30734E-03	19.62
306	3.30734E-04	18.62
307	3.30734E-05	17.62
308	3.30734E-06	16.62
309	8.26836E-03	20.01
310	6.61469E-03	19.92
311	6.61469E-04	18.92
312	6.61469E-05	17.92
313	6.61469E-06	16.92
314	1.15757E-02	20.16
315	9.92203E-03	20.09
316	9.92203E-04	19.09
317	1.32294E-02	20.22
318	1.32294E-03	19.22
319	1.32294E-04	18.22
320	1.32294E-05	17.22
321	1.65367E-03	19.31
322	1.98441E-03	19.39
323	1.98441E-04	18.39
324	1.98441E-05	17.39
325	2.31514E-03	19.46
326	2.64587E-03	19.52
327	2.64587E-04	18.52
328	2.64587E-05	17.52
329	2.97661E-03	19.57
330	5.16772E-06	18.62
331	5.16772E-07	17.62
332	5.16772E-08	16.62
333	1.03354E-06	17.92
334	1.03354E-07	16.92
335	2.06709E-06	18.22
336	2.06709E-07	17.22
337	3.10063E-06	18.39
338	3.10063E-07	17.39
339	4.13418E-06	18.52
340	4.13418E-07	17.52
341	3.10063E-04	19.79
342	2.06709E-04	19.62
343	2.06709E-05	18.62
344	2.06709E-06	17.62
345	2.06709E-07	16.62
346	4.13418E-05	18.92
347	4.13418E-06	17.92
348	4.13418E-07	16.92
349	6.20127E-05	19.09
350	8.26836E-05	19.22
351	8.26836E-06	18.22
352	8.26836E-07	17.22
353	1.03354E-04	19.31
354	1.24025E-04	19.39
355	1.24025E-05	18.39
356	1.24025E-06	17.39
357	1.44696E-04	19.46
358	1.65367E-04	19.52
359	1.65367E-05	18.52
360	1.65367E-06	17.52
361	1.86038E-04	19.57
362	6.97643E-04	19.79
363	4.65095E-04	19.62
364	4.65095E-05	18.62
365	4.65095E-06	17.62
366	4.65095E-07	16.62
367	1.16274E-03	20.01
368	9.30190E-04	19.92
369	9.30190E-05	18.92
370	9.30190E-06	17.92
371	9.30190E-07	16.92
372	1.62783E-03	20.16
373	1.39529E-03	20.09
374	1.39529E-04	19.09
375	1.86038E-03	20.22
376	1.86038E-04	19.22
377	1.86038E-05	18.22
378	1.86038E-06	17.22
379	2.32548E-04	19.31
380	2.79057E-04	19.39
381	2.79057E-05	18.39
382	2.79057E-06	17.39
383	3.25567E-04	19.46
384	3.72076E-04	19.52
385	3.72076E-05	18.52
386	3.72076E-06	17.52
387	4.18586E-04	19.57
388	1.68812E-03	19.79
389	1.12542E-03	19.62
390	1.12542E-04	18.62
391	1.12542E-05	17.62
392	1.12542E-06	16.62
393	2.81354E-03	20.01
394	2.25083E-03	19.92
395	2.25083E-04	18.92
396	2.25083E-05	17.92
397	2.25083E-06	16.92
398	3.93895E-03	20.16
399	3.37625E-03	20.09
400	3.37625E-04	19.09
401	4.50166E-03	20.22
402	4.50166E-04	19.22
403	4.50166E-05	18.22
404	4.50166E-06	17.22
405	5.62708E-04	19.31
406	6.75249E-04	19.39
407	6.75249E-05	18.39
408	6.75249E-06	17.39
409	7.87791E-04	19.46
410	9.00332E-04	19.52
411	9.00332E-05	18.52
412	9.00332E-06	17.52
413	1.01287E-03	19.57
414	4.96101E-03	19.79
415	3.30734E-03	19.62
416	3.30734E-04	18.62
417	3.30734E-05	17.62
418	3.30734E-06	16.62
419	8.26836E-03	20.01
420	6.61469E-03	19.92
421	6.61469E-04	18.92
422	6.61469E-05	17.92
423	6.61469E-06	16.92
424	1.15757E-02	20.16
425	9.92203E-03	20.09
426	9.92203E-04	19.09
427	1.32294E-02	20.22
428	1.32294E-03	19.22
429	1.32294E-04	18.22
430	1.32294E-05	17.22
431	1.65367E-03	19.31
432	1.98441E-03	19.39
433	1.98441E-04	18.39
434	1.98441E-05	17.39
435	2.31514E-03	19.46
436	2.64587E-03	19.52
437	2.64587E-04	18.52
438	2.64587E-05	17.52
439	2.97661E-03	19.57
440	5.16772E-06	18.62
441	5.16772E-07	17.62
442	5.16772E-08	16.62
443	1.03354E-06	17.92
444	1.03354E-07	16.92
445	2.06709E-06	18.22
446	2.06709E-07	17.22
447	3.10063E-06	18.39
448	3.10063E-07	17.39
449	4.13418E-06	18.52
450	4.13418E-07	17.52
451	3.10063E-04	19.79
452	2.06709E-04	19.62
453	2.06709E-05	18.62
454	2.06709E-06	17.62
455	2.06709E-07	16.62
456	4.13418E-05	18.92
457	4.13418E-06	17.92
458	4.13418E-07	16.92
459	6.20127E-05	19.09
460	8.26836E-05	19.22
461	8.26836E-06	18.22
462	8.26836E-07	17.22
463	1.03354E-04	19.31
464	1.24025E-04	19.39
465	1.24025E-05	18.39
466	1.24025E-06	17.39
467	1.44696E-04	19.46
468	1.65367E-04	19.52
469	1.65367E-05	18.52
470	1.65367E-06	17.52
471	1.86038E-04	19.57
472	6.97643E-04	19.79
473	4.65095E-04	19.62
474	4.65095E-05	18.62
475	4.65095E-06	17.62
476	4.65095E-07	16.62
477	1.16274E-03	20.01
478	9.30190E-04	19.92
479	9.30190E-05	18.92
480	9.30190E-06	17.92
481	9.30190E-07	16.92
482	1.62783E-03	20.16
483	1.39529E-03	20.09
484	1.39529E-04	19.09
485	1.86038E-03	20.22
486	1.86038E-04	19.22
487	1.86038E-05	18.22
488	1.86038E-06	17.22
489	2.32548E-04	19.31
490	2.79057E-04	19.39
491	2.79057E-05	18.39
492	2.79057E-06	17.39
493	3.25567E-04	19.46
494	3.72076E-04	19.52
495	3.72076E-05	18.52
496	3.72076E-06	17.52
497	4.18586E-04	19.57
498	1.68812E-03	19.79
499	1.12542E-03	19.62
500	1.12542E-04	18.62
501	1.12542E-05	17.62
502	1.12542E-06	16.62
503	2.81354E-03	20.01
504	2.25083E-03	19.92
505	2.25083E-04	18.92
506	2.25083E-05	17.92
507	2.25083E-06	16.92
508	3.93895E-03	20.16
509	3.37625E-03	20.09
510	3.37625E-04	19.09
511	4.50166E-03	20.22
512	4.50166E-04	19.22
513	4.50166E-05	18.22
514	4.50166E-06	17.22
515	5.62708E-04	19.31
516	6.75249E-04	19.39
517	6.75249E-05	18.39
518	6.75249E-06	17.39
519	7.87791E-04	19.46
520	9.00332E-04	19.52
521	9.00332E-05	18.52
522	9.00332E-06	17.52
523	1.01287E-03	19.57
524	4.96101E-03	19.79
525	3.30734E-03	19.62
526	3.30734E-04	18.62
527	3.30734E-05	17.62
528	3.30734E-06	16.62
529	8.26836E-03	20.01
530	6.61469E-03	19.92
531	6.61469E-04	18.92
532	6.61469E-05	17.92
533	6.61469E-06	16.92
534	1.15757E-02	20.16
535	9.92203E-03	20.09
536	9.92203E-04	19.09
537	1.32294E-02	20.22
538	1.32294E-03	19.22
539	1.32294E-04	18.22
540	1.32294E-05	17.22
541	1.65367E-03	19.31
542	1.98441E-03	19.39
543	1.98441E-04	18.39
544	1.98441E-05	17.39
545	2.31514E-03	19.46
546	2.64587E-03	19.52
547	2.64587E-04	18.52
548	2.64587E-05	17.52
549	2.97661E-03	19.57
550	8.19029E-06	18.62
551	8.19029E-07	17.62
552	8.19029E-08	16.62
553	1.63806E-06	17.92
554	1.63806E-07	16.92
555	3.27611E-06	18.22
556	3.27611E-07	17.22
557	4.91417E-06	18.39
558	4.91417E-07	17.39
559	6.55223E-06	18.52
560	6.55223E-07	17.52
561	4.91417E-04	19.79
562	3.27612E-04	19.62
563	3.27612E-05	18.62
564	3.27612E-06	17.62
565	3.27612E-07	16.62
566	6.55223E-05	18.92
567	6.55223E-06	17.92
568	6.55223E-07	16.92
569	9.82835E-05	19.09
570	1.31045E-04	19.22
571	1.31045E-05	18.22
572	1.31045E-06	17.22
573	1.63806E-04	19.31
574	1.96567E-04	19.39
575	1.96567E-05	18.39
576	1.96567E-06	17.39
577	2.29328E-04	19.46
578	2.62089E-04	19.52
579	2.62089E-05	18.52
580	2.62089E-06	17.52
581	2.94850E-04	19.57
582	1.10569E-03	19.79
583	7.37126E-04	19.62
584	7.37126E-05	18.62
585	7.37126E-06	17.62
586	7.37126E-07	16.62
587	1.84281E-03	20.01
588	1.47425E-03	19.92
589	1.47425E-04	18.92
590	1.47425E-05	17.92
591	1.47425E-06	16.92
592	2.57994E-03	20.16
593	2.21138E-03	20.09
594	2.21138E-04	19.09
595	2.94850E-03	20.22
596	2.94850E-04	19.22
597	2.94850E-05	18.22
598	2.94850E-06	17.22
599	3.68563E-04	19.31
600	4.42276E-04	19.39
601	4.42276E-05	18.39
602	4.42276E-06	17.39
603	5.15988E-04	19.46
604	5.89701E-04	19.52
605	5.89701E-05	18.52
606	5.89701E-06	17.52
607	6.63413E-04	19.57
608	2.67549E-03	19.79
609	1.78366E-03	19.62
610	1.78366E-04	18.62
611	1.78366E-05	17.62
612	1.78366E-06	16.62
613	4.45916E-03	20.01
614	3.56733E-03	19.92
615	3.56733E-04	18.92
616	3.56733E-05	17.92
617	3.56733E-06	16.92
618	6.24282E-03	20.16
619	5.35099E-03	20.09
620	5.35099E-04	19.09
621	7.13465E-03	20.22
622	7.13465E-04	19.22
623	7.13465E-05	18.22
624	7.13465E-06	17.22
625	8.91832E-04	19.31
626	1.07020E-03	19.39
627	1.07020E-04	18.39
628	1.07020E-05	17.39
629	1.24856E-03	19.46
630	1.42693E-03	19.52
631	1.42693E-04	18.52
632	1.42693E-05	17.52
633	1.60530E-03	19.57
634	7.86268E-03	19.79
635	5.24179E-03	19.62
636	5.24179E-04	18.62
637	5.24179E-05	17.62
638	5.24179E-06	16.62
639	1.31045E-02	20.01
640	1.04836E-02	19.92
641	1.04836E-03	18.92
642	1.04836E-04	17.92
643	1.04836E-05	16.92
644	1.83462E-02	20.16
645	1.57254E-02	20.09
646	1.57254E-03	19.09
647	2.09671E-02	20.22
648	2.09671E-03	19.22
649	2.09671E-04	18.22
650	2.09671E-05	17.22
651	2.62089E-03	19.31
652	3.14507E-03	19.39
653	3.14507E-04	18.39
654	3.14507E-05	17.39
655	3.66925E-03	19.46
656	4.19343E-03	19.52
657	4.19343E-04	18.52
658	4.19343E-05	17.52
659	4.71761E-03	19.57
660	8.19029E-06	18.62
661	8.19029E-07	17.62
662	8.19029E-08	16.62
663	1.63806E-06	17.92
664	1.63806E-07	16.92
665	3.27611E-06	18.22
666	3.27611E-07	17.22
667	4.91417E-06	18.39
668	4.91417E-07	17.39
669	6.55223E-06	18.52
670	6.55223E-07	17.52
671	4.91417E-04	19.79
672	3.27612E-04	19.62
673	3.27612E-05	18.62
674	3.27612E-06	17.62
675	3.27612E-07	16.62
676	6.55223E-05	18.92
677	6.55223E-06	17.92
678	6.55223E-07	16.92
679	9.82835E-05	19.09
680	1.31045E-04	19.22
681	1.31045E-05	18.22
682	1.31045E-06	17.22
683	1.63806E-04	19.31
684	1.96567E-04	19.39
685	1.96567E-05	18.39
686	1.96567E-06	17.39
687	2.29328E-04	19.46
688	2.62089E-04	19.52
689	2.62089E-05	18.52
690	2.62089E-06	17.52
691	2.94850E-04	19.57
692	1.10569E-03	19.79
693	7.37126E-04	19.62
694	7.37126E-05	18.62
695	7.37126E-06	17.62
696	7.37126E-07	16.62
697	1.84281E-03	20.01
698	1.47425E-03	19.92
699	1.47425E-04	18.92
700	1.47425E-05	17.92
701	1.47425E-06	16.92
702	2.57994E-03	20.16
703	2.21138E-03	20.09
704	2.21138E-04	19.09
705	2.94850E-03	20.22
706	2.94850E-04	19.22
707	2.94850E-05	18.22
708	2.94850E-06	17.22
709	3.68563E-04	19.31
710	4.42276E-04	19.39
711	4.42276E-05	18.39
712	4.42276E-06	17.39
713	5.15988E-04	19.46
714	5.89701E-04	19.52
715	5.89701E-05	18.52
716	5.89701E-06	17.52
717	6.63413E-04	19.57
718	2.67549E-03	19.79
719	1.78366E-03	19.62
720	1.78366E-04	18.62
721	1.78366E-05	17.62
722	1.78366E-06	16.62
723	4.45916E-03	20.01
724	3.56733E-03	19.92
725	3.56733E-04	18.92
726	3.56733E-05	17.92
727	3.56733E-06	16.92
728	6.24282E-03	20.16
729	5.35099E-03	20.09
730	5.35099E-04	19.09
731	7.13465E-03	20.22
732	7.13465E-04	19.22
733	7.13465E-05	18.22
734	7.13465E-06	17.22
735	8.91832E-04	19.31
736	1.07020E-03	19.39
737	1.07020E-04	18.39
738	1.07020E-05	17.39
739	1.24856E-03	19.46
740	1.42693E-03	19.52
741	1.42693E-04	18.52
742	1.42693E-05	17.52
743	1.60530E-03	19.57
744	7.86268E-03	19.79
745	5.24179E-03	19.62
746	5.24179E-04	18.62
747	5.24179E-05	17.62
748	5.24179E-06	16.62
749	1.31045E-02	20.01
750	1.04836E-02	19.92
751	1.04836E-03	18.92
752	1.04836E-04	17.92
753	1.04836E-05	16.92
754	1.83462E-02	20.16
755	1.57254E-02	20.09
756	1.57254E-03	19.09
757	2.09671E-02	20.22
758	2.09671E-03	19.22
759	2.09671E-04	18.22
760	2.09671E-05	17.22
761	2.62089E-03	19.31
762	3.14507E-03	19.39
763	3.14507E-04	18.39
764	3.14507E-05	17.39
765	3.66925E-03	19.46
766	4.19343E-03	19.52
767	4.19343E-04	18.52
768	4.19343E-05	17.52
769	4.71761E-03	19.57
770	8.19029E-06	18.62
771	8.19029E-07	17.62
772	8.19029E-08	16.62
773	1.63806E-06	17.92
774	1.63806E-07	16.92
775	3.27611E-06	18.22
776	3.27611E-07	17.22
777	4.91417E-06	18.39
778	4.91417E-07	17.39
779	6.55223E-06	18.52
780	6.55223E-07	17.52
781	4.91417E-04	19.79
782	3.27612E-04	19.62
783	3.27612E-05	18.62
784	3.27612E-06	17.62
785	3.27612E-07	16.62
786	6.55223E-05	18.92
787	6.55223E-06	17.92
788	6.55223E-07	16.92
789	9.82835E-05	19.09
790	1.31045E-04	19.22
791	1.31045E-05	18.22
792	1.31045E-06	17.22
793	1.63806E-04	19.31
794	1.96567E-04	19.39
795	1.96567E-05	18.39
796	1.96567E-06	17.39
797	2.29328E-04	19.46
798	2.62089E-04	19.52
799	2.62089E-05	18.52
800	2.62089E-06	17.52
801	2.94850E-04	19.57
802	1.10569E-03	19.79
803	7.37126E-04	19.62
804	7.37126E-05	18.62
805	7.37126E-06	17.62
806	7.37126E-07	16.62
807	1.84281E-03	20.01
808	1.47425E-03	19.92
809	1.47425E-04	18.92
810	1.47425E-05	17.92
811	1.47425E-06	16.92
812	2.57994E-03	20.16
813	2.21138E-03	20.09
814	2.21138E-04	19.09
815	2.94850E-03	20.22
816	2.94850E-04	19.22
817	2.94850E-05	18.22
818	2.94850E-06	17.22
819	3.68563E-04	19.31
820	4.42276E-04	19.39
821	4.42276E-05	18.39
822	4.42276E-06	17.39
823	5.15988E-04	19.46
824	5.89701E-04	19.52
825	5.89701E-05	18.52
826	5.89701E-06	17.52
827	6.63413E-04	19.57
828	2.67549E-03	19.79
829	1.78366E-03	19.62
830	1.78366E-04	18.62
831	1.78366E-05	17.62
832	1.78366E-06	16.62
833	4.45916E-03	20.01
834	3.56733E-03	19.92
835	3.56733E-04	18.92
836	3.56733E-05	17.92
837	3.56733E-06	16.92
838	6.24282E-03	20.16
839	5.35099E-03	20.09
840	5.35099E-04	19.09
841	7.13465E-03	20.22
842	7.13465E-04	19.22
843	7.13465E-05	18.22
844	7.13465E-06	17.22
845	8.91832E-04	19.31
846	1.07020E-03	19.39
847	1.07020E-04	18.39
848	1.07020E-05	17.39
849	1.24856E-03	19.46
850	1.42693E-03	19.52
851	1.42693E-04	18.52
852	1.42693E-05	17.52
853	1.60530E-03	19.57
854	7.86268E-03	19.79
855	5.24179E-03	19.62
856	5.24179E-04	18.62
857	5.24179E-05	17.62
858	5.24179E-06	16.62
859	1.31045E-02	20.01
860	1.04836E-02	19.92
861	1.04836E-03	18.92
862	1.04836E-04	17.92
863	1.04836E-05	16.92
864	1.83462E-02	20.16
865	1.57254E-02	20.09
866	1.57254E-03	19.09
867	2.09671E-02	20.22
868	2.09671E-03	19.22
869	2.09671E-04	18.22
870	2.09671E-05	17.22
871	2.62089E-03	19.31
872	3.14507E-03	19.39
873	3.14507E-04	18.39
874	3.14507E-05	17.39
875	3.66925E-03	19.46
876	4.19343E-03	19.52
877	4.19343E-04	18.52
878	4.19343E-05	17.52
879	4.71761E-03	19.57
880	1.29807E-05	18.62
881	1.29807E-06	17.62
882	1.29807E-07	16.62
883	2.59615E-06	17.92
884	2.59615E-07	16.92
885	5.19229E-06	18.22
886	5.19229E-07	17.22
887	7.78844E-06	18.39
888	7.78844E-07	17.39
889	1.03846E-05	18.52
890	1.03846E-06	17.52
891	7.78844E-04	19.79
892	5.19229E-04	19.62
893	5.19229E-05	18.62
894	5.19229E-06	17.62
895	5.19229E-07	16.62
896	1.03846E-04	18.92
897	1.03846E-05	17.92
898	1.03846E-06	16.92
899	1.55769E-04	19.09
900	2.07692E-04	19.22
901	2.07692E-05	18.22
902	2.07692E-06	17.22
903	2.59615E-04	19.31
904	3.11538E-04	19.39
905	3.11538E-05	18.39
906	3.11538E-06	17.39
907	3.63461E-04	19.46
908	4.15383E-04	19.52
909	4.15383E-05	18.52
910	4.15383E-06	17.52
911	4.67306E-04	19.57
912	1.75240E-03	19.79
913	1.16827E-03	19.62
914	1.16827E-04	18.62
915	1.16827E-05	17.62
916	1.16827E-06	16.62
917	2.92067E-03	20.01
918	2.33653E-03	19.92
919	2.33653E-04	18.92
920	2.33653E-05	17.92
921	2.33653E-06	16.92
922	4.08893E-03	20.16
923	3.50480E-03	20.09
924	3.50480E-04	19.09
925	4.67306E-03	20.22
926	4.67306E-04	19.22
927	4.67306E-05	18.22
928	4.67306E-06	17.22
929	5.84133E-04	19.31
930	7.00960E-04	19.39
931	7.00960E-05	18.39
932	7.00960E-06	17.39
933	8.17786E-04	19.46
934	9.34613E-04	19.52
935	9.34613E-05	18.52
936	9.34613E-06	17.52
937	1.05144E-03	19.57
938	4.24037E-03	19.79
939	2.82692E-03	19.62
940	2.82692E-04	18.62
941	2.82692E-05	17.62
942	2.82692E-06	16.62
943	7.06729E-03	20.01
944	5.65383E-03	19.92
945	5.65383E-04	18.92
946	5.65383E-05	17.92
947	5.65383E-06	16.92
948	9.89420E-03	20.16
949	8.48075E-03	20.09
950	8.48075E-04	19.09
951	1.13077E-02	20.22
952	1.13077E-03	19.22
953	1.13077E-04	18.22
954	1.13077E-05	17.22
955	1.41346E-03	19.31
956	1.69615E-03	19.39
957	1.69615E-04	18.39
958	1.69615E-05	17.39
959	1.97884E-03	19.46
960	2.26153E-03	19.52
961	2.26153E-04	18.52
962	2.26153E-05	17.52
963	2.54422E-03	19.57
964	1.24615E-02	19.79
965	8.30767E-03	19.62
966	8.30767E-04	18.62
967	8.30767E-05	17.62
968	8.30767E-06	16.62
969	2.07692E-02	20.01
970	1.66153E-02	19.92
971	1.66153E-03	18.92
972	1.66153E-04	17.92
973	1.66153E-05	16.92
974	2.90768E-02	20.16
975	2.49230E-02	20.09
976	2.49230E-03	19.09
977	3.32307E-02	20.22
978	3.32307E-03	19.22
979	3.32307E-04	18.22
980	3.32307E-05	17.22
981	4.15383E-03	19.31
982	4.98460E-03	19.39
983	4.98460E-04	18.39
984	4.98460E-05	17.39
985	5.81537E-03	19.46
986	6.64614E-03	19.52
987	6.64614E-04	18.52
988	6.64614E-05	17.52
989	7.47690E-03	19.57
990	1.29807E-05	18.62
991	1.29807E-06	17.62
992	1.29807E-07	16.62
993	2.59615E-06	17.92
994	2.59615E-07	16.92
995	5.19229E-06	18.22
996	5.19229E-07	17.22
